% FATTI OSSERVATI (ABox) - CAMPIONE CIFRA 8
% Ground truth reale: 8

fatto(pixel_0, 0.0).
fatto(pixel_1, 0.0).
fatto(pixel_2, 10.0).
fatto(pixel_3, 14.0).
fatto(pixel_4, 8.0).
fatto(pixel_5, 1.0).
fatto(pixel_6, 0.0).
fatto(pixel_7, 0.0).
fatto(pixel_8, 0.0).
fatto(pixel_9, 2.0).
fatto(pixel_10, 16.0).
fatto(pixel_11, 14.0).
fatto(pixel_12, 6.0).
fatto(pixel_13, 1.0).
fatto(pixel_14, 0.0).
fatto(pixel_15, 0.0).
fatto(pixel_16, 0.0).
fatto(pixel_17, 0.0).
fatto(pixel_18, 15.0).
fatto(pixel_19, 15.0).
fatto(pixel_20, 8.0).
fatto(pixel_21, 15.0).
fatto(pixel_22, 0.0).
fatto(pixel_23, 0.0).
fatto(pixel_24, 0.0).
fatto(pixel_25, 0.0).
fatto(pixel_26, 5.0).
fatto(pixel_27, 16.0).
fatto(pixel_28, 16.0).
fatto(pixel_29, 10.0).
fatto(pixel_30, 0.0).
fatto(pixel_31, 0.0).
fatto(pixel_32, 0.0).
fatto(pixel_33, 0.0).
fatto(pixel_34, 12.0).
fatto(pixel_35, 15.0).
fatto(pixel_36, 15.0).
fatto(pixel_37, 12.0).
fatto(pixel_38, 0.0).
fatto(pixel_39, 0.0).
fatto(pixel_40, 0.0).
fatto(pixel_41, 4.0).
fatto(pixel_42, 16.0).
fatto(pixel_43, 6.0).
fatto(pixel_44, 4.0).
fatto(pixel_45, 16.0).
fatto(pixel_46, 6.0).
fatto(pixel_47, 0.0).
fatto(pixel_48, 0.0).
fatto(pixel_49, 8.0).
fatto(pixel_50, 16.0).
fatto(pixel_51, 10.0).
fatto(pixel_52, 8.0).
fatto(pixel_53, 16.0).
fatto(pixel_54, 8.0).
fatto(pixel_55, 0.0).
fatto(pixel_56, 0.0).
fatto(pixel_57, 1.0).
fatto(pixel_58, 8.0).
fatto(pixel_59, 12.0).
fatto(pixel_60, 14.0).
fatto(pixel_61, 12.0).
fatto(pixel_62, 1.0).
fatto(pixel_63, 0.0).

ground_truth_target(8).
